stop_id,stop_name,stop_lat,stop_lon,line,order
A15,Shady Grove,39.119819,-77.164921,RD,1
A14,Rockville,39.084215,-77.146424,RD,2
A13,Twinbrook,39.062359,-77.121113,RD,3
A12,White Flint,39.048043,-77.113131,RD,4
A11,Grosvenor-Strathmore,39.029158,-77.10415,RD,5
A10,Medical Center,38.999947,-77.097253,RD,6
A09,Bethesda,38.984282,-77.094431,RD,7
A08,Friendship Heights,38.960744,-77.085969,RD,8
A07,Tenleytown-AU,38.947808,-77.079615,RD,9
A06,Van Ness-UDC,38.94362,-77.063511,RD,10
A05,Cleveland Park,38.934703,-77.058226,RD,11
A04,Woodley Park-Zoo/Adams Morgan,38.924999,-77.052648,RD,12
A03,Dupont Circle,38.909499,-77.04362,RD,13
A02,Farragut North,38.903192,-77.039766,RD,14
A01,Metro Center,38.898303,-77.028099,RD,15
B01,Gallery Pl-Chinatown,38.89834,-77.021851,RD,16
B02,Judiciary Square,38.896084,-77.016643,RD,17
B03,Union Station,38.897723,-77.006745,RD,18
B35,NoMa-Gallaudet U,38.907407,-77.002961,RD,19
B04,Rhode Island Ave-Brentwood,38.920741,-76.995984,RD,20
B05,Brookland-CUA,38.933234,-76.994544,RD,21
B06,Fort Totten,38.951777,-77.002174,RD,22
B07,Takoma,38.975532,-77.017834,RD,23
B08,Silver Spring,38.993841,-77.031321,RD,24
B09,Forest Glen,39.015413,-77.042953,RD,25
B10,Wheaton,39.038558,-77.051098,RD,26
B11,Glenmont,39.061713,-77.05341,RD,27
G05,Largo Town Center,38.9008,-76.8449,BL,1
G04,Morgan Boulevard,38.8913,-76.8682,BL,2
G03,Addison Road-Seat Pleasant,38.886713,-76.893592,BL,3
G02,Capitol Heights,38.889757,-76.913382,BL,4
G01,Benning Road,38.890488,-76.938291,BL,5
D08,Stadium-Armory,38.88594,-76.977485,BL,6
D07,Potomac Ave,38.880841,-76.985721,BL,7
D06,Eastern Market,38.884124,-76.995334,BL,8
D05,Capitol South,38.884968,-77.005137,BL,9
D04,Federal Center SW,38.884958,-77.01586,BL,10
D03,L'Enfant Plaza,38.884775,-77.021964,BL,11
D02,Smithsonian,38.888022,-77.028232,BL,12
D01,Federal Triangle,38.893757,-77.028218,BL,13
C01,Metro Center,38.898303,-77.028099,BL,14
C02,McPherson Square,38.901316,-77.033652,BL,15
C03,Farragut West,38.901311,-77.03981,BL,16
C04,Foggy Bottom-GWU,38.900599,-77.050273,BL,17
C05,Rosslyn,38.896595,-77.07146,BL,18
C06,Arlington Cemetery,38.884574,-77.063108,BL,19
C07,Pentagon,38.869349,-77.054013,BL,20
C08,Pentagon City,38.863045,-77.059507,BL,21
C09,Crystal City,38.85779,-77.050589,BL,22
C10,Ronald Reagan Washington National Airport,38.852985,-77.043805,BL,23
C12,Braddock Road,38.814009,-77.053763,BL,24
