stop_id,stop_name,line,stop_lat,stop_lon,order
A01,Metro Center,RD,38.898303,-77.028099,1
A02,Farragut North,RD,38.903192,-77.039766,2
A03,Dupont Circle,RD,38.909499,-77.04362,3
A04,Woodley Park-Zoo/Adams Morgan,RD,38.924999,-77.052648,4
A05,Cleveland Park,RD,38.934703,-77.058226,5
A06,Van Ness-UDC,RD,38.94362,-77.063511,6
A07,Tenleytown-AU,RD,38.947808,-77.079615,7
A08,Friendship Heights,RD,38.960744,-77.085969,8
A09,Bethesda,RD,38.984282,-77.094431,9
A10,Medical Center,RD,38.999947,-77.097253,10
A11,Grosvenor-Strathmore,RD,39.029158,-77.10415,11
A12,White Flint,RD,39.048043,-77.113131,12
A13,Twinbrook,RD,39.062359,-77.121113,13
A14,Rockville,RD,39.084215,-77.146424,14
A15,Shady Grove,RD,39.119819,-77.164921,15
B01,Gallery Pl-Chinatown,RD,38.89834,-77.021851,16
B02,Judiciary Square,RD,38.896084,-77.016643,17
B03,Union Station,RD,38.897723,-77.006745,18
B04,Rhode Island Ave-Brentwood,RD,38.920741,-76.995984,19
B05,Brookland-CUA,RD,38.933234,-76.994544,20
B06,Fort Totten,RD,38.951777,-77.002174,21
B07,Takoma,RD,38.975532,-77.017834,22
B08,Silver Spring,RD,38.993841,-77.031321,23
B09,Forest Glen,RD,39.015413,-77.042953,24
B10,Wheaton,RD,39.038558,-77.051098,25
B11,Glenmont,RD,39.061713,-77.05341,26
B35,NoMa-Gallaudet U,RD,38.907407,-77.002961,27
C01,Metro Center,BL,38.898303,-77.028099,1
C02,McPherson Square,BL,38.901316,-77.033652,2
C03,Farragut West,BL,38.901311,-77.03981,3
C04,Foggy Bottom-GWU,BL,38.900599,-77.050273,4
C05,Rosslyn,BL,38.896595,-77.07146,5
C06,Arlington Cemetery,BL,38.884574,-77.063108,6
C07,Pentagon,BL,38.869349,-77.054013,7
C08,Pentagon City,BL,38.863045,-77.059507,8
C09,Crystal City,BL,38.85779,-77.050589,9
C10,Ronald Reagan Washington National Airport,BL,38.852985,-77.043805,10
C12,Braddock Road,BL,38.814009,-77.053763,11
C13,King St-Old Town,BL,38.806474,-77.061115,12
D01,Federal Triangle,BL,38.893757,-77.028218,13
D02,Smithsonian,BL,38.888022,-77.028232,14
D03,L'Enfant Plaza,BL,38.884775,-77.021964,15
D04,Federal Center SW,BL,38.884958,-77.01586,16
D05,Capitol South,BL,38.884968,-77.005137,17
D06,Eastern Market,BL,38.884124,-76.995334,18
D07,Potomac Ave,BL,38.880841,-76.985721,19
D08,Stadium-Armory,BL,38.88594,-76.977485,20
G01,Benning Road,BL,38.890488,-76.938291,21
G02,Capitol Heights,BL,38.889757,-76.913382,22
G03,Addison Road-Seat Pleasant,BL,38.886713,-76.893592,23
G04,Morgan Boulevard,BL,38.8913,-76.8682,24
G05,Largo Town Center,BL,38.9008,-76.8449,25
J02,Van Dorn Street,BL,38.799193,-77.129407,26
J03,Franconia-Springfield,BL,38.766129,-77.168797,27
E01,Mt Vernon Sq 7th St-Convention Center,GR,38.905604,-77.022256,1
E02,Shaw-Howard U,GR,38.912919,-77.022194,2
E03,U Street/African-Amer Civil War Memorial/Cardozo,GR,38.916489,-77.028938,3
E04,Columbia Heights,GR,38.928672,-77.032775,4
E05,Georgia Ave-Petworth,GR,38.936077,-77.024728,5
E06,Fort Totten,GR,38.951777,-77.002174,6
E07,West Hyattsville,GR,38.954931,-76.969881,7
E08,Prince George's Plaza,GR,38.965276,-76.956182,8
E09,College Park-U of MD,GR,38.978523,-76.928432,9
E10,Greenbelt,GR,39.011036,-76.911362,10
F01,Gallery Pl-Chinatown,GR,38.89834,-77.021851,11
F02,Archives-Navy Memorial-Penn Quarter,GR,38.893893,-77.021902,12
F03,L'Enfant Plaza,GR,38.884775,-77.021964,13
F04,Waterfront,GR,38.876221,-77.017491,14
F05,Navy Yard-Ballpark,GR,38.876588,-77.005086,15
F06,Anacostia,GR,38.862072,-76.995648,16
F07,Congress Heights,GR,38.845334,-76.98817,17
F08,Southern Avenue,GR,38.840974,-76.97536,18
F09,Naylor Road,GR,38.851187,-76.956565,19
F10,Suitland,GR,38.843891,-76.932022,20
F11,Branch Ave,GR,38.826995,-76.912134,21
