stop_id,stop_name,stop_lat,stop_lon,line,order
A15,Shady Grove,39.119819,-77.164921,RED,1
A14,Rockville,39.084215,-77.146424,RED,2
A13,Twinbrook,39.062359,-77.121113,RED,3
A12,White Flint,39.048043,-77.113131,RED,4
A11,Grosvenor-Strathmore,39.029158,-77.10415,RED,5
A10,Medical Center,38.999947,-77.097253,RED,6
A09,Bethesda,38.984282,-77.094431,RED,7
A08,Friendship Heights,38.960744,-77.085969,RED,8
A07,Tenleytown-AU,38.947808,-77.079615,RED,9
A06,Van Ness-UDC,38.94362,-77.063511,RED,10
A05,Cleveland Park,38.934703,-77.058226,RED,11
A04,Woodley Park-Zoo/Adams Morgan,38.924999,-77.052648,RED,12
A03,Dupont Circle,38.909499,-77.04362,RED,13
A02,Farragut North,38.903192,-77.039766,RED,14
A01,Metro Center,38.898303,-77.028099,RED,15
B01,Gallery Pl-Chinatown,38.89834,-77.021851,RED,16
B02,Judiciary Square,38.896084,-77.016643,RED,17
B03,Union Station,38.897723,-77.006745,RED,18
B35,NoMa-Gallaudet U,38.907407,-77.002961,RED,19
B04,Rhode Island Ave-Brentwood,38.920741,-76.995984,RED,20
B05,Brookland-CUA,38.933234,-76.994544,RED,21
B06,Fort Totten,38.951777,-77.002174,RED,22
B07,Takoma,38.975532,-77.017834,RED,23
B08,Silver Spring,38.993841,-77.031321,RED,24
B09,Forest Glen,39.015413,-77.042953,RED,25
B10,Wheaton,39.038558,-77.051098,RED,26
B11,Glenmont,39.061713,-77.05341,RED,27
G05,Largo Town Center,38.9008,-76.8449,BLUE,1
G04,Morgan Boulevard,38.8913,-76.8682,BLUE,2
G03,Addison Road-Seat Pleasant,38.886713,-76.893592,BLUE,3
G02,Capitol Heights,38.889757,-76.913382,BLUE,4
G01,Benning Road,38.890488,-76.938291,BLUE,5
D08,Stadium-Armory,38.88594,-76.977485,BLUE,6
D07,Potomac Ave,38.880841,-76.985721,BLUE,7
D06,Eastern Market,38.884124,-76.995334,BLUE,8
D05,Capitol South,38.884968,-77.005137,BLUE,9
D04,Federal Center SW,38.884958,-77.01586,BLUE,10
D03,L'Enfant Plaza,38.884775,-77.021964,BLUE,11
